ANET
CI
CRUS
GOOGL
LRCX
MRK
MU
NVDA
TSM
SKHY
AVGO
INTC
WDC
VLO
STLD
AMAT
MPC
NRG
CMC
EOG
TXN
CBRS
AAPL
PAGS
KHC
BMY
AMZN
AMD
